dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10055271,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055271",RE00564,,"Campania Pit",33.41685,-82.29985,NA,"United States",Georgia,Columbia,N,"Brick Clay",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055273,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055273",RE00566,,"Rollo Pit",32.63907,-84.01241,NA,"United States",Georgia,Crawford,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055274,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055274",RE00567,,"Forsyth Pit",32.84596,-83.9416,NA,"United States",Georgia,Crawford,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055275,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055275",RE00568,,"Knoxville Pit",32.76687,-83.99851,NA,"United States",Georgia,Crawford,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055276,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055276",RE00569,,"Clinchfield Quarry",32.41687,-83.6471,NA,"United States",Georgia,Houston,M,Iron,,,Unknown,,N,Occurrence,,,,,,,,,,,"Cocker, Mark D., Klein, Terry L., Woodruff, Laurel G.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055277,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055277",RE00570,,"Bear Creek Road Quarry",32.49187,-83.6235,NA,"United States",Georgia,Houston,N,Kaolin,,,Unknown,,N,Occurrence,,,,,,,,,"Bear Creek Rd Qua",,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055278,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055278",RE00571,,"Clinchfield Quarry",32.41687,-83.6471,NA,"United States",Georgia,Houston,N,"Limestone, General",,,Unknown,,N,Occurrence,,,,,,,,,,,"Klein, Terry L., Cocker, Mark D., Woodruff, Laurel G.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055279,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055279",RE00572,,"Adel Pit",32.42517,-83.7735,NA,"United States",Georgia,Houston,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055280,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055280",RE00574,,"Continental Can Mine",33.31125,-82.37346,NA,"United States",Georgia,Jefferson,N,Kaolin,,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055281,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055281",RE00575,,"Reedy Creek Mine",33.27795,-82.37766,NA,"United States",Georgia,Jefferson,N,Kaolin,,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055282,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055282",RE00577,,"Brown Sand Pit",32.55017,-82.89707,NA,"United States",Georgia,Laurens,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Klein, Terry L., Woodruff, Laurel G., Cocker, Mark D.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055283,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055283",RE00579,,"Mullite Pit",32.23768,-84.11661,NA,"United States",Georgia,Macon,M,Aluminum,,,Unknown,"Weathering Residual",N,Occurrence,Bauxite,,,,,"111: Bauxite, laterite type",,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,"Nanafalia Formation, Wilcox",,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055285,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055285",RE00582,,"D.J. James Pit",33.40015,-82.48176,NA,"United States",Georgia,McDuffie,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055287,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055287",RE00585,,"Mt. Vernon Pit",32.19458,-82.62067,NA,"United States",Georgia,Montgomery,N,"Sand and Gravel, Construction",,,Unknown,Alluvium,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055288,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055288",RE00588,,"Foster's Lane Pit",33.45015,-81.98045,NA,"United States",Georgia,Richmond,N,"Brick Clay",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055289,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055289",RE00590,,"Sand Pit",33.43765,-81.97625,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055290,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055290",RE00591,,"Knox-Rivers Pit",33.33345,-81.97065,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055291,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055291",RE00593,,"Norton Pit",33.21125,-82.33046,NA,"United States",Georgia,Jefferson,M,Iron,,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055292,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055292",RE00595,,"Morgan Road Pit",33.39455,-82.10815,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055293,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055293",RE00596,,"James Pit",33.32795,-82.16655,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055294,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055294",RE00598,,"Gate 5 Pit",33.39455,-82.13735,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055295,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055295",RE00600,,"U.S. Duffie Pit",33.45845,-81.96514,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055296,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055296",RE00601,,"Barton Chaple Pit",33.48345,-82.07765,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055297,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055297",RE00602,,"Simmons Pit",33.44185,-82.07485,NA,"United States",Georgia,Richmond,N,"Sand and Gravel, Construction",,,Unknown,Alluvium,N,Occurrence,,,,,,,,,,,"Klein, Terry L., Cocker, Mark D., Woodruff, Laurel G.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055298,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055298",RE00604,,"Mullite Company of America",32.18488,-84.08051,NA,"United States",Georgia,Sumter,B,"Kaolin, Aluminum",,,Unknown,"Weathering Residual",N,Occurrence,,,,,,"111: Bauxite, laterite type",,,"Mullite Co. of America",,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,"Nanafalia Formation, Wilcox",,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055300,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055300",RE00606,,"Webb Pit",32.19048,-84.09991,NA,"United States",Georgia,Sumter,N,Kaolin,,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055301,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055301",RE00607,,"Anthony Dairy Pit",32.03768,-84.24991,NA,"United States",Georgia,Sumter,N,"Sand and Gravel, Construction",,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055302,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055302",RE00608,,"Howard Pit",32.60017,-84.23321,NA,"United States",Georgia,Taylor,N,"Sand and Gravel, Construction",,,Unknown,Alluvium,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Cocker, Mark D., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055303,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055303",RE00609,,"Butler Pit",32.59047,-84.23321,NA,"United States",Georgia,Taylor,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Klein, Terry L., Woodruff, Laurel G., Cocker, Mark D.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055304,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055304",RE00610,,"B.D. Tharpe Mine",32.78076,-83.52209,NA,"United States",Georgia,Twiggs,N,Kaolin,,,Unknown,,N,Occurrence,,,,,,,,,,,"Cocker, Mark D., Klein, Terry L., Woodruff, Laurel G.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055305,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055305",RE00611,,"Nord Kaolin Company",32.77796,-83.46379,NA,"United States",Georgia,Twiggs,N,"Clay, Kaolin",,,Unknown,,N,Occurrence,,,,,,,,,"Nord Kaolin Co.",,"Cocker, Mark D., Klein, Terry L., Woodruff, Laurel G.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATALaney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.Laney, M.K., 1991, Mining Directory Of Georgia:  Georgia Geological Survey Circular 2, 112 Pp.John Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
